plot_id,xcoord,ycoord,heathy_200,heathy_400,heathy_600,heathy_800,heathy_1000,heathy_1200,heathy_1400,heathy_1600,heathy_1800,heathy_2000,cleared_200,cleared_400,cleared_600,cleared_800,cleared_1000,cleared_1200,cleared_1400,cleared_1600,cleared_1800,cleared_2000,edgelength_200,edgelength_400,edgelength_600,edgelength_800,edgelength_1000,edgelength_1200,edgelength_1400,edgelength_1600,edgelength_1800,edgelength_2000,firediversity_200,firediversity_400,firediversity_600,firediversity_800,firediversity_1000,firediversity_1200,firediversity_1400,firediversity_1600,firediversity_1800,firediversity_2000,midSucc_200,midSucc_400,midSucc_600,midSucc_800,midSucc_1000,midSucc_1200,midSucc_1400,midSucc_1600,midSucc_1800,midSucc_2000,growthstage,TSF
191,287905,6105850,9.18,19.62,32.13,47.43,67.23,80.37,82.62,83.61,91.98,104.31,1.17,20.16,58.32,105.21,158.67,232.29,334.26,448.29,591.12,748.53,510,2820,4650,8880,12330,16740,19320,23970,29280,35130,0.215857988,0.462263012,0.470733611,0.491072756,0.49998053,0.492005094,0.48066662,0.457921282,0.422415968,0.38207068,0,0,0,0,0,0,0,0,0,0,2,8
192,288690,6105355,9.09,22.77,40.41,57.78,70.47,73.44,78.21,93.15,111.69,137.88,0.72,7.74,20.16,40.68,84.06,147.96,239.04,336.24,451.26,595.26,210,2220,3810,6030,8610,11430,15180,19020,23310,29340,0.124444444,0.322686529,0.401820587,0.439684635,0.458957021,0.484615695,0.499999757,0.482328852,0.458152082,0.44716034,0,0,0,0,0,0,0,0,0,0,2,8
193,289576,6104020,10.89,23.76,27.99,30.42,38.07,46.53,50.04,57.78,73.17,92.43,0,0,0.18,4.77,27.27,60.3,108.18,208.89,360.63,523.8,240,2010,3300,5130,8880,11280,14460,18300,24450,31410,0.057919358,0.364573202,0.441961818,0.478029649,0.505737835,0.453715649,0.447934256,0.450514359,0.439068613,0.422177824,0,0,0,0,0,0,0,0,0,0,4,85
194,289068,6103339,3.51,7.83,15.48,25.56,38.25,48.87,56.79,60.66,68.76,80.46,0,0,0,10.44,52.29,108.45,179.28,271.62,389.79,523.62,900,1650,3090,4440,7500,13020,18900,26610,32490,38730,0.093523246,0.573276616,0.502815618,0.359780008,0.314678598,0.332694456,0.329034702,0.305778212,0.264353932,0.28477707,0,0,0,0,0,0,0,0,0,0,1,1
195,288473,6103527,8.73,16.92,19.98,21.51,24.84,34.92,49.59,60.12,77.49,118.17,0,2.43,23.58,60.84,103.41,153.54,216.18,302.4,416.52,540.27,600,1860,3180,4200,5940,8370,12540,18450,27540,36810,0,0,0.206020802,0.361884803,0.344834767,0.230445762,0.189347549,0.243395443,0.356298276,0.395362687,0,0,0,0,0,0,0,0,0,0,4,74
196,288852,6094670,12.69,43.83,86.04,139.41,199.35,255.51,313.11,383.85,448.74,501.39,0,5.31,21.33,51.93,97.29,165.06,254.25,347.4,448.92,566.01,0,960,1590,2430,3360,5580,9630,15360,20580,26670,0.156734694,0.420382315,0.544942199,0.524440164,0.500057159,0.528441439,0.578793879,0.648937691,0.676663199,0.683664638,1.08,13.5,47.25,92.52,144,181.62,208.44,214.74,215.28,215.28,2,8
197,288016,6094916,12.42,32.94,58.23,94.77,134.46,174.87,223.74,278.01,333.81,374.94,0,16.02,48.6,88.83,133.92,186.75,271.98,377.82,502.38,648.09,0,1290,2460,3810,5520,7230,8520,10110,13380,19680,0.349878371,0.385784304,0.373589089,0.435509699,0.509284922,0.53973695,0.543808945,0.592374321,0.639358727,0.664240578,9.9,27.09,51.03,77.31,100.89,129.78,160.29,183.24,203.4,213.03,3,18
198,288542,6095289,10.8,45.9,100.53,174.69,242.82,307.44,353.34,389.97,420.12,445.86,0,0,0.36,8.01,38.7,76.5,131.13,211.59,324.99,473.94,0,0,240,1770,4890,7680,10440,14160,20340,24690,0,0.031737773,0.230766023,0.3914412,0.499782558,0.587641184,0.633153002,0.656588916,0.670910219,0.679468872,12.33,49.41,98.91,146.7,179.1,197.01,207.09,213.75,215.28,215.28,3,24
199,289818,6095085,9.45,32.58,72.27,132.75,202.14,271.53,326.52,383.49,451.44,508.41,0.9,8.91,21.78,38.88,71.1,115.56,175.14,236.07,306.18,406.53,480,1020,1680,2490,4350,7080,9810,14130,20550,27780,0,0.321842105,0.548626407,0.607091679,0.651977008,0.669915939,0.673625526,0.671960665,0.680780371,0.690109366,0,5.31,28.17,64.08,98.28,124.56,148.23,176.58,200.52,213.48,4,36
200,290525,6094327,9.9,31.95,56.34,88.83,122.85,153.36,182.88,226.35,289.35,370.26,2.43,18.09,51.84,101.79,171.09,263.16,357.48,454.95,560.97,675.63,540,1290,4560,8280,10920,12330,15090,18300,22620,28620,0,0.279552,0.499741044,0.485949382,0.477282344,0.494422448,0.535621918,0.572355157,0.594816214,0.597580707,0,0,0,3.6,11.34,12.42,25.65,45.45,75.6,104.76,2,6
